VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
HND1410SD01,05-01-2019,West,Maharashtra,Tapukara,Honda,City,Hybrid,4,56.8,186,174,13.25,2500,102960000,24446868,2019
HND1410SD02,09-01-2019,South,Karnataka,Greater Noida,Honda,City eHEV,Petrol,4,39.9,218,206,9.16,0,86104000,20922382,2019
HND1410SD03,09-01-2019,West,Gujarat,Greater Noida,Honda,City eHEV,Petrol,4,45.9,192,180,8.42,17500,65367000,16726345,2019
HND1410SD04,13-01-2019,East,Odisha,Tapukara,Honda,Amaze 2 Gen,Diesel,4,53.3,196,184,10.95,2500,105730000,22094621,2019
HND1410SD05,16-01-2019,West,Gujarat,Greater Noida,Honda,City eHEV,Petrol,4,46,198,186,10.25,12500,90000000,26206517,2019
HND1410SD06,16-01-2019,South,Kerala,Greater Noida,Honda,City eHEV,Petrol,4,39.7,218,206,10.12,20000,103032000,26333112,2019
HND1410SD07,18-01-2019,South,Tamil Nadu,Greater Noida,Honda,City eHEV,Petrol,4,43.2,462,450,8.33,12500,162408000,48267177,2019
HND1410SD08,21-01-2019,East,West Bengal,Tapukara,Honda,City,Petrol,4,49.9,348,336,16.17,12500,256312000,67339473,2019
HND1410SD09,23-01-2019,West,Maharashtra,Greater Noida,Honda,City eHEV,Petrol,4,40.6,256,244,8.93,15000,96656000,24413208,2019
HND1410SD10,25-01-2019,East,Jharkhand,Tapukara,Honda,Amaze,Petrol,4,43.7,322,310,11.09,12500,161516000,47688382,2019
HND1410SD11,25-01-2019,South,Kerala,Tapukara,Honda,Amaze,Petrol,4,42.1,416,404,10.3,15000,181000000,44982848,2019
HND1410SD12,25-01-2019,East,West Bengal,Tapukara,Honda,Amaze,Petrol,4,46.8,474,462,9.41,15000,193132000,51654710,2019
HND1410SD13,26-01-2019,North,Rajasthan,Greater Noida,Honda,City,Petrol,4,46.8,266,254,16.11,0,204597000,58144308,2019
HND1410SD14,28-01-2019,South,Tamil Nadu,Greater Noida,Honda,Amaze 2 Gen,Petrol,4,40.8,466,454,9.22,17500,174739000,42544160,2019
HND1410SD15,31-01-2019,East,Jharkhand,Greater Noida,Honda,Amaze 2 Gen,Petrol,4,40,482,470,11.63,17500,267336000,79808365,2019
HND1410SD16,01-02-2019,South,Tamil Nadu,Greater Noida,Honda,City eHEV,Petrol,4,48.2,322,310,8.46,12500,124792000,25088238,2019
HND1410SD17,02-02-2019,South,Kerala,Greater Noida,Honda,City,Petrol,4,42.6,384,372,12.96,20000,203472000,59513801,2019
HND1410SD18,03-02-2019,West,Goa,Greater Noida,Honda,City,Petrol,4,43.6,360,348,13.49,20000,218603000,57486583,2019
