VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
HYU1410SD0007,23-04-2019,West,Goa,Chennai,Hyundai,i20,Diesel,4,40.3,162.2,704.8,9.21,37341,50617659,12199687.52,2019
HYU1410SD0009,07-07-2019,Export,Dubai,Chennai,Hyundai,Creta,Petrol,4,38.6,28.24,125.2,11.8,14025,84945975,17186098.13,2019
HYU1410SD0010,31-08-2019,South,Karnataka,Chennai,Hyundai,Alcazar,Diesel,4,27.4,178.56,746.4,21.6,19352,203020648,38967371.5,2019
HYU1410SD0011,29-12-2019,Export,Bangladesh,Chennai,Hyundai,Creta,Petrol,4,39.3,114.96,528.6,11.34,40794,90679206,20086221.16,2019
HYU1410SD0016,25-06-2019,Export,Sri Lanka,Chennai,Hyundai,Creta,Diesel,4,34.5,123.84,162.2,14.56,49977,209614023,46504599.62,2019
HYU1410SD0017,07-07-2019,West,Gujarat,Chennai,Hyundai,Grand i10 Nios,Diesel,3,45.4,26.88,86,7.16,16238,65139762,17914740.64,2019
HYU1410SD0018,31-08-2019,South,Kerala,Chennai,Hyundai,Venue,Diesel,4,36.8,83.32,153.6,9.62,27388,95210612,21266881.08,2019
HYU1410SD0028,28-01-2019,South,Karnataka,Chennai,Hyundai,Grand i10 Nios,Diesel,3,47.9,165.72,162,7.2,12320,47507680,11742851.99,2019
HYU1410SD0056,07-06-2019,Export,Sri Lanka,Chennai,Hyundai,Creta,Diesel,4,34.3,69,260,16.6,31553,82968447,21296533.14,2019
HYU1410SD0065,04-09-2019,Export,Dubai,Chennai,Hyundai,Venue,Diesel,4,38.4,39.2,68,9.76,34838,66333162,12954804.94,2019
HYU1410SD0068,27-01-2019,East,Odisha,Chennai,Hyundai,Exter,Petrol,3,54.1,79.64,226.2,7.94,16161,118289839,23818864.43,2019
HYU1410SD0075,12-08-2019,Export,Bangladesh,Chennai,Hyundai,Alcazar,Petrol,4,31.4,45.28,218.6,17.04,7160,138016840,37433407.11,2019
HYU1410SD0085,12-05-2019,West,Maharashtra,Chennai,Hyundai,Verna,Petrol,4,41.7,97.92,436.2,12.94,34847,73723153,15101865.77,2019
HYU1410SD0100,13-01-2019,North,Haryana,Chennai,Hyundai,Verna,Petrol,4,39.1,178.56,601,11.69,44779,113348221,22697137.09,2019
HYU1410SD0121,23-10-2019,East,Assam,Chennai,Hyundai,Alcazar,Petrol,4,31.5,188,107.4,17.13,21701,149009299,37017935.99,2019
HYU1410SD0124,15-07-2019,North,Jammu & Kashmir,Chennai,Hyundai,Alcazar,Diesel,4,28.1,181.4,704.2,19.04,42131,104677869,22692359.56,2019
HYU1410SD0128,09-10-2019,East,Bihar,Chennai,Hyundai,i20,Diesel,4,42.1,183.64,323.8,8.71,16106,53114894,14129652.58,2019
HYU1410SD0129,05-02-2019,North,Uttar Pradesh,Chennai,Hyundai,Exter,Petrol,3,54.4,185.64,636.6,6.84,33542,91622458,20768711.66,2019
HYU1410SD0130,17-04-2019,West,Gujarat,Chennai,Hyundai,Grand i10 Nios,Diesel,3,47.6,151.92,415.6,7.98,42043,61403957,11271228.95,2019
HYU1410SD0136,13-03-2019,East,West Bengal,Chennai,Hyundai,Grand i10 Nios,Petrol,4,50.7,112.84,413.6,7.77,18749,73019251,19212921.94,2019
HYU1410SD0145,28-12-2019,West,Maharashtra,Chennai,Hyundai,Alcazar,Diesel,4,27.3,108.92,84.4,19.07,37841,194476159,35880472.81,2019
HYU1410SD0158,01-05-2019,South,Tamil Nadu,Chennai,Hyundai,Creta,Diesel,4,30.9,77.28,139.2,15.18,4870,201889130,50312089.01,2019
HYU1410SD0172,27-10-2019,Export,Sri Lanka,Chennai,Hyundai,Verna,Diesel,4,36,89.4,379.4,14.47,44014,135973986,34604228.07,2019
HYU1410SD0178,04-05-2019,Export,South Africa,Chennai,Hyundai,i20,Petrol,4,49.5,116.56,161.6,9.35,8047,75726953,18882991.68,2019
HYU1410SD0185,10-11-2019,Export,Sri Lanka,Chennai,Hyundai,Alcazar,Petrol,4,29,106.88,144.8,19.42,14565,283517435,70505518.62,2019
HYU1410SD0193,08-10-2019,West,Gujarat,Chennai,Hyundai,Exter,Petrol,3,53.5,191.56,882.2,7.43,19171,59420829,13435430.31,2019
HYU1410SD0195,01-05-2019,South,Karnataka,Chennai,Hyundai,Verna,Petrol,4,41.9,190.84,799.6,11.16,24621,99299379,19375225.5,2019
HYU1410SD0199,29-06-2019,South,Andhra Pradesh,Chennai,Hyundai,Grand i10 Nios,Petrol,4,49.4,105.68,208,6.08,20556,88747444,22567807.71,2019
HYU1410SD0210,14-12-2019,East,Odisha,Chennai,Hyundai,i20,Diesel,4,42.1,77.6,216,9.36,34568,59869432,16459418.14,2019
HYU1410SD0211,23-08-2019,East,Assam,Chennai,Hyundai,Grand i10 Nios,Petrol,4,49.4,108.12,383,7.47,22775,78412225,17906070.73,2019
HYU1410SD0224,12-02-2019,West,Maharashtra,Chennai,Hyundai,Exter,Petrol,3,52.1,84.08,241.2,6.82,35171,34746829,8731219.318,2019
HYU1410SD0229,04-07-2019,East,West Bengal,Chennai,Hyundai,Venue,Petrol,3,43.3,38.36,117.8,8.75,11355,76113645,17812688.92,2019
HYU1410SD0240,26-02-2019,Export,Dubai,Chennai,Hyundai,Exter,Petrol,3,50.3,32,148.6,7.94,35727,69836273,17643607.71,2019
HYU1410SD0254,29-12-2019,West,Gujarat,Chennai,Hyundai,i20,Petrol,4,47,114.52,186.4,8.59,15131,104782869,21644678.79,2019
HYU1410SD0256,13-07-2019,West,Maharashtra,Chennai,Hyundai,Verna,Diesel,4,37.3,141.28,436,12.66,44211,65787789,13849728.64,2019
HYU1410SD0270,23-06-2019,South,Telangana,Chennai,Hyundai,Venue,Petrol,3,41.8,31,148.8,7.51,45372,69046628,18248244.45,2019
HYU1410SD0282,17-07-2019,North,Haryana,Chennai,Hyundai,Verna,Diesel,4,37.4,112.24,439.4,14.89,36885,92281115,20013662.6,2019
HYU1410SD0284,30-01-2019,North,Punjab,Chennai,Hyundai,Alcazar,Diesel,4,29.3,120.8,437.6,19.53,39,166004961,34499703.22,2019
HYU1410SD0289,06-08-2019,West,Rajasthan,Chennai,Hyundai,Grand i10 Nios,Petrol,4,52.7,137.6,317,7.61,16111,82171889,18162265.86,2019
HYU1410SD0292,02-12-2019,Export,Bangladesh,Chennai,Hyundai,Grand i10 Nios,Petrol,4,52.1,26.24,121.6,7.01,33781,35717219,8196048.797,2019
