VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
KIA1410DS07,10-09-2019,East,Odisha,Pune,Kia,EV6,EV,0,151.1,183,447,2143721.24,46593,312472107.8,104321747.5,2019
KIA1410DS30,28-02-2019,South,Tamil Nadu,Chennai,Kia,EV9,EV,0,188.9,150,180,2285521.94,31448,135244436.4,49212079.12,2019
KIA1410DS35,10-08-2019,South,Tamil Nadu,Pune,Kia,EV9,EV,0,176.3,103,231,2724772.87,19813,208281910,79972103.16,2019
KIA1410DS46,05-07-2019,East,Odisha,Chennai,Kia,EV6,EV,0,167.6,216,582,2103336.65,43028,399699878.1,137169127.1,2019
KIA1410DS47,04-07-2019,South,Telangana,Chennai,Kia,EV5,EV,0,162.7,233,372,1851198.56,19956,227074077.4,65322812.64,2019
KIA1410DS56,18-01-2019,South,Telangana,Chakan,Kia,EV5,EV,0,168.4,110,177,1854811.54,19953,108256653.9,35236698.49,2019
KIA1410DS71,31-05-2019,East,Assam,Chennai,Kia,Carnival,Diesel,4,30.4,147,192,3012932.85,22681,191376118.4,56374490.45,2019
KIA1410DS112,21-07-2019,North,Delhi,Chakan,Kia,EV5,EV,0,166.2,170,276,1668508.71,20708,151597665.3,50618595.45,2019
KIA1410DS124,27-05-2019,South,Telangana,Pune,Kia,Niro EV,EV,0,181.7,164,354,2071651.26,35488,240267264.7,89676711.5,2019
KIA1410DS126,14-09-2019,South,Tamil Nadu,Anantapur,Kia,EV9,EV,0,187.1,182,369,2666675.94,26578,324732046.6,78451741.46,2019
KIA1410DS144,30-09-2019,South,Tamil Nadu,Anantapur,Kia,Carnival,Diesel,4,29.8,147,390,3871573.11,25662,499968444.3,128248999.6,2019
KIA1410DS145,08-01-2019,East,Bihar,Chakan,Kia,Niro EV,EV,0,193.3,242,432,1829224.87,22012,260238653.3,82458212.12,2019
KIA1410DS150,05-07-2019,South,Telangana,Anantapur,Kia,Carens,Diesel,4,43.4,217,372,1316885.06,48359,157297231.4,34818056.51,2019
KIA1410DS159,10-04-2019,South,Karnataka,Anantapur,Kia,EV9,EV,0,176.8,211,372,2251030.37,36448,274608213.9,69905428.88,2019
KIA1410DS166,17-10-2019,North,Uttar Pradesh,Anantapur,Kia,Carnival,Diesel,4,29,146,234,3488498.66,5907,271642149.5,68960368.63,2019
KIA1410DS169,16-09-2019,South,Andhra Pradesh,Chennai,Kia,Sonet,Petrol,3,48,234,375,1016315.91,20893,124427863.8,42879488.64,2019
KIA1410DS178,12-07-2019,West,Rajasthan,Anantapur,Kia,Niro EV,EV,0,188.5,137,405,1967667.57,24465,262332347,98788029.22,2019
KIA1410DS182,21-03-2019,East,Assam,Chakan,Kia,Carnival,Diesel,4,31.4,114,186,3485286.67,36799,213806235.5,52778618.09,2019
KIA1410DS185,19-09-2019,West,Rajasthan,Chakan,Kia,Seltos,Petrol,4,49.5,218,249,1235860.79,25959,100421848.6,27860175.73,2019
KIA1410DS190,10-09-2019,East,Odisha,Chennai,Kia,Seltos,Petrol,4,46.7,155,186,1470355.7,49835,88072283.4,29797079.31,2019
KIA1410DS191,12-02-2019,North,Delhi,Chennai,Kia,EV6,EV,0,195.1,108,252,2229805.45,15489,186002581.8,70722513.07,2019
KIA1410DS197,08-08-2019,East,Assam,Anantapur,Kia,EV9,EV,0,177.6,246,528,2702780.81,33955,469713342.6,117352712.2,2019
KIA1410DS198,27-01-2019,West,Madhya Pradesh,Chennai,Kia,Niro EV,EV,0,201.7,238,408,2059975.99,11201,278633398.6,58123043.86,2019
KIA1410DS202,10-05-2019,South,Andhra Pradesh,Anantapur,Kia,Seltos,Diesel,4,48.5,215,360,1421353.78,30192,166939413.6,35494945.79,2019
KIA1410DS208,19-11-2019,North,Haryana,Chakan,Kia,EV5,EV,0,165.5,147,153,1741792.41,34427,87075635.91,34185331.99,2019
KIA1410DS216,14-11-2019,South,Andhra Pradesh,Chennai,Kia,EV9,EV,0,161.9,175,393,2703182.16,34250,349630113,82624635.75,2019
KIA1410DS223,12-05-2019,South,Tamil Nadu,Chakan,Kia,Sonet,Petrol,3,42.6,243,240,1022409.09,33584,79106007.2,18513315.68,2019
