VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
MAH1410DS01,05-01-2019,North,Rajasthan,Chakan,Mahindra,XUV 400 EV,EV,0,196.9,171,171,16.22,0,248166000,74435071,2019
MAH1410DS02,09-01-2019,South,Telangana,Chakan,Mahindra,BE 6,EV,0,169.6,117,117,10.12,40000,109120000,34482189,2019
MAH1410DS03,09-01-2019,East,West Bengal,Chakan,Mahindra,XUV 3XO,Diesel,4,49.7,94,94,9.51,50000,81488000,27243278,2019
MAH1410DS04,13-01-2019,West,Gujarat,Zaheerabad,Mahindra,BE 6,EV,0,152.2,90,90,10.97,20000,84786000,21640351,2019
MAH1410DS05,16-01-2019,East,Bihar,Chakan,Mahindra,BE 6,EV,0,156.2,63,63,10.45,0,65835000,21726097,2019
MAH1410DS06,16-01-2019,Export,Nepal,Zaheerabad,Mahindra,Thar,Diesel,4,41.9,129,129,16.51,0,175006000,49367876,2019
MAH1410DS07,18-01-2019,West,Maharashtra,Kandivali,Mahindra,XUV 700,Diesel,4,46.8,54,54,20.89,20000,108108000,32971019,2019
MAH1410DS08,21-01-2019,South,Kerala,Zaheerabad,Mahindra,Thar,Petrol,4,44.9,115,115,17.29,30000,171400000,54194240,2019
MAH1410DS09,23-01-2019,West,Goa,Bangalore,Mahindra,BE 6,EV,0,178.1,142,142,10.13,20000,124372000,34985633,2019
MAH1410DS11,25-01-2019,West,Gujarat,Nashik,Mahindra,Scorpio-N,Diesel,4,46,174,174,20.31,20000,331444000,89807018,2019
MAH1410DS12,25-01-2019,West,Maharashtra,Kandivali,Mahindra,XUV 3XO,Petrol,4,28,123,123,10.76,40000,118272000,30153477,2019
MAH1410DS10,25-01-2019,North,Rajasthan,Zaheerabad,Mahindra,XUV 400 EV,EV,0,175.8,137,137,16.14,20000,203708000,64740834,2019
MAH1410DS13,26-01-2019,South,Tamil Nadu,Zaheerabad,Mahindra,XUV 3XO,Petrol,4,32.8,53,53,9.02,30000,46124000,12414641,2019
MAH1410DS14,28-01-2019,Export,South Africa,Chakan,Mahindra,Scorpio-N,Diesel,4,47.6,51,51,20,50000,79000000,21215862,2019
MAH1410DS15,31-01-2019,West,Maharashtra,Kandivali,Mahindra,Thar,Diesel,4,33.6,134,134,17.97,0,221031000,55574667,2019
MAH1410DS16,01-02-2019,West,Maharashtra,Kandivali,Mahindra,Thar,Petrol,4,27.2,119,119,17.09,30000,191422000,54158183,2019
MAH1410DS17,02-02-2019,East,Odisha,Chakan,Mahindra,XUV 700,Diesel,4,47.5,78,78,21.68,50000,132866000,40446851,2019
MAH1410DS18,03-02-2019,West,Gujarat,Chakan,Mahindra,XUV 700,Diesel,4,43.6,110,110,22.86,20000,216220000,59200318,2019
MAH1410DS19,06-02-2019,East,Odisha,Kandivali,Mahindra,XUV 400 EV,EV,0,169.9,154,154,16.44,50000,208851000,65872166,2019
MAH1410DS20,09-02-2019,West,Goa,Kandivali,Mahindra,Scorpio-N,Diesel,4,45.5,119,119,15.82,10000,176624000,57707344,2019
MAH1410DS21,09-02-2019,North,Punjab,Chakan,Mahindra,XUV 400 EV,EV,0,153.2,139,139,16.89,0,226326000,63557664,2019
MAH1410DS22,10-02-2019,North,Punjab,Zaheerabad,Mahindra,XUV 3XO,Petrol,3,29.2,128,128,13.72,30000,145199000,38863334,2019
MAH1410DS23,12-02-2019,South,Karnataka,Chakan,Mahindra,XUV 400 EV,EV,0,185.9,118,118,17.6,40000,175740000,48291823,2019
MAH1410DS24,14-02-2019,North,Uttar Pradesh,Bangalore,Mahindra,XUV 3XO,Petrol,3,26.8,131,131,13.48,30000,151962000,42782383,2019
MAH1410DS25,15-02-2019,South,Telangana,Nashik,Mahindra,XUV 700,Petrol,4,27.9,59,59,21.99,30000,120120000,36208730,2019
MAH1410DS26,17-02-2019,Export,Sri Lanka,Zaheerabad,Mahindra,Bolero,Diesel,3,45.8,169,169,9.38,20000,144768000,48288622,2019
MAH1410DS27,17-02-2019,West,Maharashtra,Chakan,Mahindra,XUV 400 EV,EV,0,173.8,176,176,17.97,10000,299264000,94478053,2019
MAH1410DS28,18-02-2019,West,Maharashtra,Chakan,Mahindra,Scorpio-N,Petrol,4,29.6,135,135,16.99,10000,211750000,66500138,2019
MAH1410DS29,21-02-2019,West,Goa,Kandivali,Mahindra,Scorpio-N,Diesel,4,37.8,194,194,15.88,50000,243828000,67458316,2019
MAH1410DS30,21-02-2019,Export,Sri Lanka,Nashik,Mahindra,XUV 400 EV,EV,0,183.1,138,138,17.01,10000,223872000,63541724,2019
MAH1410DS31,22-02-2019,North,Delhi,Nashik,Mahindra,Scorpio-N,Petrol,4,43.3,156,156,15.46,40000,206010000,56464276,2019
MAH1410DS32,23-02-2019,North,Rajasthan,Kandivali,Mahindra,XUV 400 EV,EV,0,178.1,77,77,17.89,50000,127008000,44346907,2019
MAH1410DS33,24-02-2019,North,Haryana,Bangalore,Mahindra,Scorpio-N,Diesel,4,35.5,175,175,15.5,10000,254925000,67391285,2019
MAH1410DS34,25-02-2019,Export,Sri Lanka,Bangalore,Mahindra,Thar,Petrol,4,37.6,119,119,14.26,50000,137298000,37657527,2019
MAH1410DS35,08-03-2019,Export,South Africa,Bangalore,Mahindra,BE 6,EV,0,193.8,163,163,10.46,40000,152874000,48261096,2019
MAH1410DS36,15-03-2019,South,Telangana,Nashik,Mahindra,BE 6,EV,0,193,135,135,10.5,30000,135585000,34056520,2019
MAH1410DS37,20-03-2019,North,Rajasthan,Bangalore,Mahindra,Scorpio-N,Petrol,4,30,69,69,18.11,30000,118536000,30600386,2019
MAH1410DS38,24-03-2019,East,Odisha,Nashik,Mahindra,BE 6,EV,0,152.6,114,114,10.24,30000,101909000,34545361,2019
