VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
MAR2110SD01,05-01-2019,North,Delhi,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,586.2,594.4,7,1500,10150000,2000000,2019
MAR2110SD02,09-01-2019,South,Tamil Nadu,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,364.4,726.4,10,2000,11800000,2500000,2019
MAR2110SD03,09-01-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,290.2,434.8,6,1200,9900000,1800000,2019
MAR2110SD04,13-01-2019,East,West Bengal,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,657,786,10,3000,8800000,1500000,2019
MAR2110SD05,13-01-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,440.6,482.6,11,2500,13750000,3000000,2019
MAR2110SD06,17-01-2019,South,Andhra Pradesh,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,239,311.6,7,1500,10850000,2100000,2019
MAR2110SD07,21-01-2019,West,Gujarat,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,420.2,984.6,10,2000,12800000,2700000,2019
MAR2110SD08,21-01-2019,East,Odisha,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,369.8,392.8,6,1200,10500000,1900000,2019
MAR2110SD09,25-01-2019,North,Haryana,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,106.8,114.4,10,3000,9200000,1600000,2019
MAR2110SD10,25-01-2019,South,Karnataka,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,220.4,293.2,11,2500,14850000,3200000,2019
MAR2110SD11,29-01-2019,West,Rajasthan,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,599.2,728,7,1500,11550000,2200000,2019
MAR2110SD12,02-02-2019,East,Bihar,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,155.4,276.2,10,2000,13800000,2900000,2019
MAR2110SD13,06-02-2019,North,Punjab,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,266.4,493.4,6,1200,11100000,2000000,2019
MAR2110SD14,10-02-2019,South,Kerala,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,85.4,211.8,10,3000,9800000,1700000,2019
MAR2110SD15,14-02-2019,West,Madhya Pradesh,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,427.6,727,11,2500,15950000,3400000,2019
MAR2110SD16,18-02-2019,East,Jharkhand,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,228,498.8,7,1500,12250000,2300000,2019
MAR2110SD17,22-02-2019,North,Uttarakhand,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,363.8,431,10,2000,14800000,3100000,2019
MAR2110SD18,26-02-2019,South,Telangana,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,101,168.2,6,1200,11700000,2100000,2019
MAR2110SD19,02-03-2019,West,Chhattisgarh,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,352.4,394.6,10,3000,10200000,1800000,2019
MAR2110SD20,06-03-2019,East,Assam,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,527.2,657.8,11,2500,17050000,3600000,2019
MAR2110SD21,10-03-2019,North,Himachal Pradesh,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,223.8,676.8,7,1500,12950000,2400000,2019
MAR2110SD22,14-03-2019,South,Goa,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,91,684.2,10,2000,15800000,3300000,2019
MAR2110SD23,18-03-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,501.2,508.6,6,1200,12300000,2200000,2019
MAR2110SD24,22-03-2019,East,Odisha,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,100,105.6,10,3000,10800000,1900000,2019
MAR2110SD25,26-03-2019,North,Rajasthan,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,514.4,753.4,11,2500,18150000,3800000,2019
MAR2110SD26,30-03-2019,South,Karnataka,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,470.4,511.8,7,1500,13650000,2500000,2019
MAR2110SD27,03-04-2019,West,Gujarat,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,399.6,917.2,10,2000,16800000,3500000,2019
MAR2110SD28,07-04-2019,East,West Bengal,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,576,761.2,6,1200,12900000,2300000,2019
MAR2110SD29,11-04-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,251.6,919.4,10,3000,11200000,2000000,2019
MAR2110SD30,15-04-2019,South,Andhra Pradesh,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,107.8,165.6,11,2500,19250000,4000000,2019
MAR2110SD31,19-04-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,297,425.4,7,1500,14350000,2600000,2019
MAR2110SD32,23-04-2019,East,Odisha,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,92.8,285.8,10,2000,17800000,3700000,2019
MAR2110SD33,27-04-2019,North,Delhi,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,120.2,514.2,6,1200,13500000,2400000,2019
MAR2110SD34,01-05-2019,South,Tamil Nadu,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,286,601,10,3000,11800000,2100000,2019
MAR2110SD35,05-05-2019,West,Maharashtra,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,167.4,261.8,11,2500,20350000,4200000,2019
MAR2110SD36,09-05-2019,East,West Bengal,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,106,165,7,1500,15050000,2700000,2019
MAR2110SD37,13-05-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,567.8,758.4,10,2000,18800000,3900000,2019
MAR2110SD38,17-05-2019,South,Karnataka,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,318.2,560,6,1200,14100000,2500000,2019
MAR2110SD39,21-05-2019,West,Gujarat,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,211.4,230.8,10,3000,12200000,2200000,2019
MAR2110SD40,25-05-2019,East,Odisha,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,556.6,937.4,11,2500,21450000,4400000,2019
MAR2110SD41,29-05-2019,North,Delhi,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,80.4,327,7,1500,15750000,2800000,2019
MAR2110SD42,02-06-2019,South,Tamil Nadu,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,521.4,802.4,10,2000,19800000,4100000,2019
MAR2110SD43,06-06-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,91,256.4,6,1200,14700000,2600000,2019
MAR2110SD44,10-06-2019,East,West Bengal,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,175.2,712,10,3000,12800000,2300000,2019
MAR2110SD45,14-06-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,391,573.4,11,2500,22550000,4600000,2019
MAR2110SD46,18-06-2019,South,Karnataka,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,573.2,786.6,7,1500,16450000,2900000,2019
MAR2110SD47,22-06-2019,West,Gujarat,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,133.2,221.8,10,2000,20800000,4300000,2019
MAR2110SD48,26-06-2019,East,Odisha,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,656.6,769.2,6,1200,15300000,2700000,2019
MAR2110SD49,30-06-2019,North,Delhi,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,477.6,791.6,10,3000,13200000,2400000,2019
MAR2110SD50,04-07-2019,South,Tamil Nadu,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,297.4,671.4,11,2500,23650000,4800000,2019
MAR2110SD51,08-07-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,424.6,552,7,1500,17150000,3000000,2019
MAR2110SD52,12-07-2019,East,West Bengal,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,338.6,478.2,10,2000,21800000,4500000,2019
MAR2110SD53,16-07-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,87.4,280.6,6,1200,15900000,2800000,2019
MAR2110SD54,20-07-2019,South,Karnataka,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,216.4,249.8,10,3000,13800000,2500000,2019
MAR2110SD55,24-07-2019,West,Gujarat,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,210.4,690.2,11,2500,24750000,5000000,2019
MAR2110SD56,28-07-2019,East,Odisha,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,359.8,452.4,7,1500,17850000,3100000,2019
MAR2110SD57,01-08-2019,North,Delhi,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,194.8,453.4,10,2000,22800000,4700000,2019
MAR2110SD58,05-08-2019,South,Tamil Nadu,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,223.4,517.8,6,1200,16500000,2900000,2019
MAR2110SD59,09-08-2019,West,Maharashtra,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,359.8,592.8,10,3000,14200000,2600000,2019
MAR2110SD60,13-08-2019,East,West Bengal,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,323,630.2,11,2500,25850000,5200000,2019
MAR2110SD61,17-08-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,81.4,121,7,1500,18550000,3200000,2019
MAR2110SD62,21-08-2019,South,Karnataka,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,710.6,850.6,10,2000,23800000,4900000,2019
MAR2110SD63,25-08-2019,West,Gujarat,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,363.6,616.4,6,1200,17100000,3000000,2019
MAR2110SD64,29-08-2019,East,Odisha,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,493.4,505.2,10,3000,14800000,2700000,2019
MAR2110SD65,02-09-2019,North,Delhi,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,84.8,160.2,11,2500,26950000,5400000,2019
MAR2110SD66,06-09-2019,South,Tamil Nadu,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,315.8,439.2,7,1500,19250000,3300000,2019
MAR2110SD67,10-09-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,107.2,225.2,10,2000,24800000,5100000,2019
MAR2110SD68,14-09-2019,East,West Bengal,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,443.6,448.6,6,1200,17700000,3100000,2019
MAR2110SD69,18-09-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,428.6,986.2,10,3000,15200000,2800000,2019
MAR2110SD70,22-09-2019,South,Karnataka,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,308.4,675.6,11,2500,28050000,5600000,2019
MAR2110SD71,26-09-2019,West,Gujarat,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,139.6,606.8,7,1500,19950000,3400000,2019
MAR2110SD72,30-09-2019,East,Odisha,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,255.2,417.8,10,2000,25800000,5300000,2019
MAR2110SD73,04-10-2019,North,Delhi,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,314,324.4,6,1200,18300000,3200000,2019
MAR2110SD74,08-10-2019,South,Tamil Nadu,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,340.6,381.6,10,3000,15800000,2900000,2019
MAR2110SD75,12-10-2019,West,Maharashtra,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,414.2,881.2,11,2500,29150000,5800000,2019
MAR2110SD76,16-10-2019,East,West Bengal,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,128.4,192.6,7,1500,20650000,3500000,2019
MAR2110SD77,20-10-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,110,177,10,2000,26800000,5500000,2019
MAR2110SD78,24-10-2019,South,Karnataka,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,174.8,332.4,6,1200,18900000,3300000,2019
MAR2110SD79,28-10-2019,West,Gujarat,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,378.8,546.4,10,3000,16200000,3000000,2019
MAR2110SD80,01-11-2019,East,Odisha,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,580,779.2,11,2500,30250000,6000000,2019
MAR2110SD81,05-11-2019,North,Delhi,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,344.4,374.4,7,1500,21350000,3600000,2019
MAR2110SD82,09-11-2019,South,Tamil Nadu,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,569,805.6,10,2000,27800000,5700000,2019
MAR2110SD83,13-11-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,373,462.4,6,1200,19500000,3400000,2019
MAR2110SD84,17-11-2019,East,West Bengal,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,495.8,810.4,10,3000,16800000,3100000,2019
MAR2110SD85,21-11-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,168.6,331.8,11,2500,31350000,6200000,2019
MAR2110SD86,25-11-2019,South,Karnataka,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,101.8,472.8,7,1500,22050000,3700000,2019
MAR2110SD87,29-11-2019,West,Gujarat,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,340.6,982,10,2000,28800000,5900000,2019
MAR2110SD88,03-12-2019,East,Odisha,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,504.8,518,6,1200,20100000,3500000,2019
MAR2110SD89,07-12-2019,North,Delhi,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,129.6,180,10,3000,17200000,3200000,2019
MAR2110SD90,11-12-2019,South,Tamil Nadu,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,228.8,335.2,11,2500,32450000,6400000,2019
MAR2110SD91,15-12-2019,West,Maharashtra,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,210.4,219.8,7,1500,22750000,3800000,2019
MAR2110SD92,19-12-2019,East,West Bengal,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,193.6,313.2,10,2000,29800000,6100000,2019
MAR2110SD93,23-12-2019,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Ignis,Petrol,4,20.89,829.4,922.8,6,1200,20700000,3600000,2019
MAR2110SD94,27-12-2019,South,Karnataka,Manesar,Maruti Nexa,S-Cross,Diesel,4,24,293,795,10,3000,17800000,3300000,2019
MAR2110SD95,31-12-2019,West,Gujarat,Gurgaon,Maruti Nexa,XL6,Petrol,4,19.01,460.4,528.2,11,2500,33550000,6600000,2019
MAR2110SD96,04-01-2020,East,Odisha,Manesar,Maruti Nexa,Baleno,Petrol,4,23.87,339.4,576,7,1500,23450000,3900000,2020
MAR2110SD97,08-01-2020,North,Delhi,Gurgaon,Maruti Nexa,Ciaz,Petrol,4,20.65,522.8,599.2,10,2000,30800000,6300000,2020
MAR2110SD98,12-01-2020,South,Tamil Nadu,Manesar,Maruti Nexa,Ignis,Petrol,4,20.89,170.6,190.2,6,1200,21300000,3700000,2020
MAR2110SD99,16-01-2020,West,Maharashtra,Gurgaon,Maruti Nexa,S-Cross,Diesel,4,24,294,840.4,10,3000,18200000,3400000,2020
MAR2110SD100,20-01-2020,East,West Bengal,Manesar,Maruti Nexa,XL6,Petrol,4,19.01,321.2,421,11,2500,34650000,6800000,2020
MAR2110SD101,24-01-2020,North,Uttar Pradesh,Gurgaon,Maruti Nexa,Baleno,Petrol,4,23.87,555.6,692.8,7,1500,24150000,4000000,2020
MAR2110SD102,28-01-2020,South,Karnataka,Manesar,Maruti Nexa,Ciaz,Petrol,4,20.65,147.4,771.6,10,2000,31800000,6500000,2020
