VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
VIN100005,06-11-2019,West,Gujarat,Chennai,Skoda,Skoda Kushaq,Hybrid,6,14.91,155.8,239,3000000,3182.32,3489928190,467487572.5,2019
VIN100006,15-01-2019,West,Karnataka,Chennai,Skoda,Skoda Kyliaq,Petrol,6,17.42,492.3,420.2,2900000,2398.84,5966900929,1021514536,2019
VIN100010,27-11-2019,East,Maharashtra,Lucknow,Skoda,Skoda Kyliaq,Petrol,6,21.24,364,599.2,3600000,2983.68,10562122368,2262626583,2019
VIN100016,06-04-2019,North,Uttar Pradesh,Gurgaon,Skoda,Skoda Slavia,Diesel,3,21.97,215.5,363.8,2800000,2344.72,4986573858,623099944.9,2019
VIN100017,10-09-2019,East,Karnataka,Chennai,Skoda,Skoda Kyliaq,Hybrid,3,22.47,498.5,280.2,2400000,3192,1171701000,167848590.7,2019
VIN100030,16-02-2019,Central,Maharashtra,Ahmedabad,Skoda,Skoda Kushaq,Hybrid,4,12.13,91.2,107.8,1900000,2126.32,2742560370,562118253,2019
VIN100032,15-05-2019,Central,Haryana,Pune,Skoda,Skoda Kushaq,Hybrid,4,16.41,232.3,320.2,1300000,1794.88,754331928,128830159.9,2019
VIN100034,24-01-2019,Central,Haryana,Bangalore,Skoda,Skoda Kyliaq,Petrol,6,23.64,470.3,784.8,1300000,1073.96,1065627387,190500887.7,2019
VIN100053,12-11-2019,Central,Haryana,Lucknow,Skoda,Skoda Kodiaq,Electric,4,14.16,259.1,300.4,3400000,974.04,3652452218,495675601.5,2019
VIN100054,01-10-2019,East,Karnataka,Lucknow,Skoda,Skoda Kodiaq,Diesel,3,21.84,121.5,101.6,2900000,2678.56,2980353872,650235544.1,2019
VIN100064,05-05-2019,South,Gujarat,Lucknow,Skoda,Skoda Kushaq,Petrol,4,20.06,188.7,368.4,2300000,1478.64,959526416,211168667.2,2019
VIN100066,02-02-2019,South,Tamil Nadu,Pune,Skoda,Skoda Kodiaq,Hybrid,3,13.07,197.4,225.4,3300000,1941.48,1742784168,380619766.8,2019
VIN100067,07-09-2019,Central,Maharashtra,Pune,Skoda,Skoda Kodiaq,Hybrid,3,24.99,257.2,302.2,2300000,1559.96,5014900218,645761401.3,2019
VIN100080,13-09-2019,West,Maharashtra,Pune,Skoda,Skoda Kyliaq,Diesel,3,20.33,205.8,180.2,3000000,1782.08,5089281456,663508081.9,2019
VIN100085,19-11-2019,South,Karnataka,Chennai,Skoda,Skoda Kodiaq,Hybrid,6,19.37,109.4,121.8,3200000,3412.28,1585378737,308714330.8,2019
VIN100086,12-01-2019,East,Uttar Pradesh,Bangalore,Skoda,Skoda Kushaq,Diesel,6,24,59,80.4,1200000,1760.8,1968633940,362252406.9,2019
VIN100121,05-09-2019,West,Tamil Nadu,Pune,Skoda,Skoda Kyliaq,Hybrid,6,23.63,411,211.2,2500000,3003.76,5126251284,1277972563,2019
VIN100127,09-02-2019,West,Uttar Pradesh,Pune,Skoda,Skoda Kyliaq,Diesel,6,17.47,378.2,537.8,1000000,3817.8,377199435,71977363.93,2019
VIN100140,02-03-2019,West,Tamil Nadu,Chennai,Skoda,Skoda Kyliaq,Diesel,4,12.12,339.7,455.4,1900000,3932.56,780130038,161512128.6,2019
VIN100148,15-01-2019,West,Gujarat,Gurgaon,Skoda,Skoda Kushaq,Electric,4,14.23,314.1,239.6,2800000,2433.2,5171552960,889214274.2,2019
VIN100161,19-06-2019,East,Haryana,Bangalore,Skoda,Skoda Kodiaq,Diesel,4,14.85,240.1,294.2,2400000,3379.28,4466634222,697227840.3,2019
VIN100164,27-07-2019,South,Karnataka,Gurgaon,Skoda,Skoda Kodiaq,Electric,6,21.37,422.2,543.8,2500000,3103.92,9706564814,1722934156,2019
