VIN,SaleDate,Region,State,Plant,Brand,Model,FuelType,No_of_Cylinders,Mileage_mpg,ProductionUnits,SalesUnits,Price,Discount,Revenue,Profit,Year
TAT1410SD717,13-12-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,134.6,446.4,9.21,46593,1242422000,406528703,2025
TAT1410SD718,14-12-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,194.2,1266.4,11.8,31448,1122500000,321356023,2025
TAT1410SD719,16-12-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,280.2,1994,21.6,19813,621396000,155104712,2025
TAT1410SD720,18-12-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,107.8,364.8,21.6,43028,705895000,147372175,2025
TAT1410SD721,19-12-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,320.2,929.2,14.56,19956,1799714000,530184640,2025
TAT1410SD722,20-12-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,784.8,1881.2,7.16,19953,1032512000,326442537,2025
TAT1410SD723,21-12-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,300.4,1036.4,9.62,22681,666852000,223186975,2025
TAT1410SD724,23-12-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,101.6,486,7.2,20708,598500000,152749580,2025
TAT1410SD725,25-12-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,368.4,754.8,16.6,35488,681818000,202456094,2025
TAT1410SD726,27-12-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,225.4,789.6,9.76,26578,921235000,241638848,2025
TAT1410SD727,28-12-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,302.2,1028.8,7.94,25662,1256944000,411290278,2025
TAT1410SD728,29-12-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,180.2,823.2,17.04,22012,1136250000,325262590,2025
TAT1410SD729,31-12-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,121.8,437.6,12.94,48359,628480000,156870000,2025
TAT1410SD730,01-01-2022,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,80.4,236,11.69,36448,714080000,149082750,2025
TAT1410SD731,02-01-2022,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,211.2,1644,17.13,5907,1820760000,536386320,2025
TAT1410SD732,03-01-2022,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,537.8,1512.8,19.04,20893,1045252000,330478125,2025
TAT1410SD733,04-01-2022,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,455.4,1358.8,8.71,24465,675030000,225925925,2025
TAT1410SD734,06-01-2022,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,239.6,1256.4,6.84,36799,605580000,154567056,2025
TAT1410SD735,08-01-2022,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,294.2,960.4,7.98,25959,689911000,204866992,2025
TAT1410SD736,10-01-2022,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,543.8,1688.8,7.77,49835,932270000,244528509,2025
TAT1410SD737,11-01-2022,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,135.4,285.2,19.07,15489,1271466000,416051855,2025
TAT1410SD738,12-01-2022,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,223.8,502.4,15.18,33955,1150000000,329175000,2025
TAT1410SD739,14-01-2022,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,116.6,450,14.47,11201,635564000,158656664,2025
TAT1410SD740,16-01-2022,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,263.6,946.8,9.35,30192,722265000,150793425,2025
TAT1410SD741,17-01-2022,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,85.6,215.6,19.42,34427,1841806000,542588032,2025
TAT1410SD742,18-01-2022,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,111,1309.6,7.43,34250,1057992000,334513714,2025
TAT1410SD743,19-01-2022,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,371,1228,11.16,33584,683208000,228664875,2025
TAT1410SD744,21-01-2022,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,349.2,1000.4,6.08,27205,612645000,156384524,2025
TAT1410SD745,23-01-2022,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,400.8,1600,9.36,17045,698004000,207277881,2025
TAT1410SD746,25-01-2022,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,117.8,1401.6,7.47,12998,943305000,247418160,2025
TAT1410SD747,26-01-2022,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,119.4,517.6,6.82,21120,1285988000,420813431,2025
TAT1410SD748,27-01-2022,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,602.8,1332,8.75,32354,1163750000,333082158,2025
TAT1410SD749,29-01-2022,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,521.6,1744.8,7.94,26933,642648000,160431104,2025
TAT1410SD750,31-01-2022,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,788.6,1776.8,8.59,8864,730450000,152504100,2025
TAT1410SD751,01-02-2022,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,120.8,696,12.66,24280,1862852000,548789744,2025
TAT1410SD752,02-02-2022,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,92.2,213.2,7.51,17831,1070732000,338549303,2025
TAT1410SD753,03-02-2022,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,575,1856,14.89,31169,691386000,231403820,2025
TAT1410SD754,05-02-2022,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,501.8,1655.6,19.53,35951,619710000,158181999,2025
TAT1410SD755,07-02-2022,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,276.6,653.6,7.61,45426,706097000,209688771,2025
TAT1410SD756,09-02-2022,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,250.6,698.8,7.01,47049,954340000,250307810,2025
TAT1410SD757,10-02-2022,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,563.6,1367.6,10.12,29343,1300510000,425575005,2025
TAT1410SD758,11-02-2022,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,903.4,1806.8,16.11,42274,1177500000,336989447,2025
TAT1410SD645,27-08-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,105.9,126.4,14.11,18954,617074000,183158968,2024
TAT1410SD646,29-08-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,274.7,320.2,13.55,7954,832950000,218510787,2024
TAT1410SD647,30-08-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,470.6,332,7.12,6176,1140766000,373161865,2024
TAT1410SD648,31-08-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,209.2,268.2,6.55,31640,1025625000,294008404,2024
TAT1410SD649,02-09-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,468.4,230,8.29,10167,571808000,142723528,2024
TAT1410SD650,04-09-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,95.5,183.6,8.73,35213,648600000,135397500,2024
TAT1410SD651,05-09-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,479.1,873.8,14.15,36205,1652392000,486769176,2024
TAT1410SD652,06-09-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,317.5,352.6,7.39,47392,943332000,298184854,2024
TAT1410SD653,07-09-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,207.9,192.4,6.55,10680,609606000,204014316,2024
TAT1410SD654,09-09-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,350,359.6,8.49,22077,549030000,140028264,2024
TAT1410SD655,11-09-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,332.8,256,8.61,24521,625167000,185569857,2024
TAT1410SD656,13-09-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,400.3,771.4,9.91,46803,843985000,221400445,2024
TAT1410SD657,14-09-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,496.7,963.8,7.5,32759,1155288000,377923442,2024
TAT1410SD658,15-09-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,233.7,419,8.99,11241,1039375000,297915309,2024
TAT1410SD659,17-09-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,189.3,264.2,15.92,43112,578892000,144498064,2024
TAT1410SD660,19-09-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,451.5,760.8,9.58,37647,656785000,137108167,2024
TAT1410SD661,20-09-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,371.9,344,19.98,8692,1673438000,492970888,2024
TAT1410SD662,21-09-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,297.2,405,10.31,45536,956072000,302221242,2024
TAT1410SD663,22-09-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,400.6,796.2,11.94,18323,617784000,206753267,2024
TAT1410SD664,24-09-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,499.3,687.8,6.85,33081,556100000,141845734,2024
TAT1410SD665,26-09-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,156.5,133.2,8.2,28382,187980746,2021,2024
TAT1410SD666,28-09-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,417.9,638.6,9.03,11542,855020000,224300100,2024
TAT1410SD667,29-09-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,193,347.8,10.06,21607,1169810000,382685010,2024
TAT1410SD668,30-09-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,127.5,130.6,8.83,16641,1053125000,301822471,2024
TAT1410SD669,02-10-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,385.7,654.4,9.07,15262,585976000,146272504,2024
TAT1410SD670,04-10-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,231.8,174,19.83,17776,664970000,138818825,2024
TAT1410SD671,05-10-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,429.1,300.8,10.62,36821,1694484000,499172608,2024
TAT1410SD672,06-10-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,475.3,887,8.52,37050,968812000,306259020,2024
TAT1410SD673,07-10-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,250.2,228.4,8.99,35331,625962000,209492218,2024
TAT1410SD674,09-10-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,219.6,248.6,14.95,28098,563165000,143662209,2024
TAT1410SD675,11-10-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,441.6,202.6,9.84,21395,641353000,190401662,2024
TAT1410SD676,13-10-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,405.4,583.6,7.26,24856,866055000,227190562,2024
TAT1410SD677,14-10-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,138.4,91.4,13.81,17066,1184332000,387446585,2024
TAT1410SD678,15-10-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,52,86.4,18.9,43974,1066875000,305729112,2024
TAT1410SD679,17-10-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,57.7,99.8,7.99,49827,593060000,148046940,2024
TAT1410SD680,19-10-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,261.5,308.6,7.84,41612,673155000,140529487,2024
TAT1410SD681,20-10-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,481.5,926.4,13.78,29666,1715530000,505374320,2024
TAT1410SD682,21-10-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,349.8,410,15.46,25453,981552000,310296765,2024
TAT1410SD683,22-10-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,336.8,368.2,7.46,6562,634140000,212231169,2024
TAT1410SD684,24-10-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,237.8,183,8.9,42995,570230000,145479674,2024
TAT1410SD685,26-10-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,225,147.2,8.14,27574,649446000,192812551,2024
TAT1410SD686,28-10-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,167.3,173.6,10.38,43951,877090000,230080214,2024
TAT1410SD687,29-10-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,485.1,282.2,7.48,40297,1198854000,392208155,2024
TAT1410SD688,30-10-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,136.8,251.2,9.57,24085,1080625000,309635689,2024
TAT1410SD689,01-11-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,161.7,308.2,6.96,16962,600144000,149811372,2024
TAT1410SD690,03-11-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,354.8,707.4,18.95,47346,681340000,142240150,2024
TAT1410SD691,04-11-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,149.1,114.8,17.61,48548,1736576000,511576032,2024
TAT1410SD692,05-11-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,396.9,224,7.21,29069,994292000,314332353,2024
TAT1410SD693,06-11-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,349.6,266.8,17.88,35679,642318000,214970114,2024
TAT1410SD694,08-11-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,414.7,201,14.58,19865,577300000,147297148,2024
TAT1410SD695,10-11-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,115.5,117.6,7.34,30054,657539000,195223439,2024
TAT1410SD696,12-11-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,436.6,695.4,11.5,23150,888125000,232969871,2024
TAT1410SD697,13-11-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,250.8,215.8,7.2,34790,1213376000,396970104,2024
TAT1410SD698,14-11-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,143.6,181.4,8.59,44923,1094375000,313542267,2024
TAT1410SD699,16-11-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,318.4,256.8,7.96,9258,607228000,151575824,2024
TAT1410SD700,18-11-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,51.7,95,7.85,10892,689525000,143950825,2024
TAT1410SD701,19-11-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,195.8,364.4,8.48,14235,1757622000,517777744,2024
TAT1410SD702,20-11-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,91.8,88,8,43537,1007032000,318371360,2024
TAT1410SD703,21-11-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,59,114,12.92,18889,650496000,217709066,2024
TAT1410SD704,23-11-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,94.7,182,7.29,7498,584365000,149114622,2024
TAT1410SD705,25-11-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,496.3,433.4,11.34,23242,665632000,197634328,2024
TAT1410SD706,27-11-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,392.9,582.4,12.47,17764,899160000,235859522,2024
TAT1410SD707,28-11-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,347.6,514.6,7.35,48402,1227898000,401731671,2024
TAT1410SD708,29-11-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,90.7,102.2,13.6,6140,1108125000,317449445,2024
TAT1410SD709,01-12-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,257.9,185,16.64,36647,614312000,153340272,2024
TAT1410SD710,03-12-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,219,170.4,17.17,44942,697710000,145661500,2024
TAT1410SD711,04-12-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,287.9,441.2,12.16,44774,1778668000,523982928,2024
TAT1410SD712,05-12-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,359.6,249.6,12.77,9138,1019772000,322406949,2024
TAT1410SD713,06-12-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,67.9,127.4,8.74,43528,658674000,220448018,2024
TAT1410SD714,08-12-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,469.3,249,6.36,45227,591430000,150932098,2024
TAT1410SD715,10-12-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,374.2,166,6.72,46400,673725000,200045217,2024
TAT1410SD716,12-12-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,168.5,311.6,18.23,10586,910200000,238749180,2024
TAT1410SD573,10-05-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,237.8,128.4,7.6,49864,544182000,182042691,2023
TAT1410SD574,12-05-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,105.9,110,13.79,28257,492510000,125567478,2023
TAT1410SD575,14-05-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,257.6,386,11.23,46918,560428000,166282824,2023
TAT1410SD576,16-05-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,288,190.6,7.73,37427,755705000,198282987,2023
TAT1410SD577,17-05-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,439.2,607.8,14.35,11684,1039106000,339830557,2023
TAT1410SD578,18-05-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,243.6,101.2,9.34,39018,929375000,266473614,2023
TAT1410SD579,20-05-2021,South,Kerala,Pune,Tata,Tigor,Petrol,3,39.9,151,263.2,18.93,39175,522212000,130377032,2023
TAT1410SD580,22-05-2021,East,Odisha,Pune,Tata,Tiago EV,EV,0,152.2,488.8,937,11.43,47151,591405000,123425625,2023
TAT1410SD581,23-05-2021,North,Delhi,Pune,Tata,Nexon EV,EV,0,196.9,208.4,129.6,18.64,15309,1505068000,443367120,2023
TAT1410SD582,24-05-2021,South,Telangana,Ranjangaon,Tata,Tigor EV,EV,0,169.6,405.9,588,6.96,23207,854152000,269984070,2023
TAT1410SD583,25-05-2021,West,Gujarat,Pune,Tata,Tiago,Diesel,3,49.7,490.4,439,9.6,44468,552360000,184781642,2023
TAT1410SD584,27-05-2021,North,Rajasthan,Pune,Tata,Altroz,Petrol,4,52.2,104.4,139.6,20.41,38149,499575000,127384998,2023
TAT1410SD585,29-05-2021,South,Karnataka,Ranjangaon,Tata,Punch,Petrol,3,58.7,169.2,146.4,13.17,30078,568516000,168693714,2023
TAT1410SD586,31-05-2021,East,Bihar,Pune,Tata,Harrier,Diesel,4,48.2,288.6,261.6,12.03,35415,766740000,201172640,2023
TAT1410SD587,01-06-2021,North,Jharkhand,Pune,Tata,Safari,Diesel,4,36.7,481.5,412.6,16.98,29492,1053628000,344592135,2023
TAT1410SD588,02-06-2021,West,Maharashtra,Ranjangaon,Tata,Nexon,Petrol,4,46.7,113.7,190.8,9.28,21925,943125000,270380192,2023
