Model Name,Image URL
BE 6,https://www.mahindraelectricsuv.com/on/demandware.static/-/Sites-esuv-product-catalog/default/dwfcef8ba9/images/BE6/large/packone/Everest_White_Matte_588x330.png
Bolero,https://ackodrive-assets.s3.amazonaws.com/media/test_0zue7oZ.png
Scorpio-N,https://auto.mahindra.com/dw/image/v2/BKRC_PRD/on/demandware.static/-/Sites-mahindra-product-catalog/default/dw14737114/images/SCN/large/ScorpioN_602x339.png
Thar,https://auto.mahindra.com/dw/image/v2/BKRC_PRD/on/demandware.static/-/Sites-mahindra-product-catalog/default/dwa4de1cb1/images/TH5D/large/Thar_Roxx_602x339.png
XUV 3XO,https://auto.mahindra.com/dw/image/v2/BKRC_PRD/on/demandware.static/-/Sites-mahindra-product-catalog/default/dwc4930484/images/X3XO/large/S220_602x339.png
XUV 400 EV,https://offers.caimahindra.com/uploads/product/new%20Everest%20White.png
XUV 700,https://acko-cms.ackoassets.com/Mahindra_XUV_700_1_f40d4fdc0b.png
Swift,https://www.nicepng.com/png/detail/258-2589270_new-maruti-suzuki-swift-in-pearl-arctic-white.png
Dzire,https://i.pinimg.com/736x/84/7c/56/847c5649826768ab9d6683c61d516eaf.jpg
Alto,https://5.imimg.com/data5/YR/TQ/GLADMIN-33713197/maruti-suzuki-alto-800-car.png
Baleno,https://p7.hiclipart.com/preview/270/809/162/suzuki-swift-baleno-maruti-car-car.jpg
Ignis,https://p.kindpng.com/picc/s/4-45858_suzuki-car-png-free-download-maruti-suzuki-cars.png
Ciaz,https://img.favpng.com/15/12/2/maruti-suzuki-ciaz-car-png-favpng-yYg1hBuLrJFP4qseytaYerRaH.jpg
S-corss,https://5.imimg.com/data5/RF/KB/DC/GLADMIN-83390829/s-cross.png
Vitara Brezza,https://i.pinimg.com/736x/ce/3f/91/ce3f915934c82bef3f67329c741cfa66.jpg
Wagon R,https://www.pngmart.com/files/22/Maruti-Suzuki-PNG-Isolated-File.png
XL6,https://www.nexaexperience.com/adobe/assets/urn:aaid:aem:918d528f-4d3f-4612-a6f5-ab893889d689/as/XL6-FrontTilted-335x185.png
Altroz,https://www.gokulammotors.com/assets/img/modelnew/altroz/model-color/EmberGlow-0-2.png
Harrier,https://5.imimg.com/data5/SELLER/Default/2023/7/329716204/FK/IQ/GY/193940542/image-removebg-preview-16-png.png
Nexon,https://www.tafeaccesstata.com/wp-content/uploads/2021/10/nexon-dark.png
